panel,u2,u3,T_star
CARA,2.02806,-2.02806,2
CARA,2.04409,-2.04409,2
CARA,2.06012,-2.06012,2
CARA,2.07615,-2.07615,2
CARA,2.09218,-2.09218,2
CARA,2.10822,-2.10822,2
CARA,2.12425,-2.12425,2
CARA,2.14028,-2.14028,2
CARA,2.15631,-2.15631,2
CARA,2.17234,-2.17234,2
CARA,2.18838,-2.18838,2
CARA,2.20441,-2.20441,2
CARA,2.22044,-2.22044,2
CARA,2.23647,-2.23647,2
CARA,2.25251,-2.25251,2
CARA,2.26854,-2.26854,2
CARA,2.28457,-2.28457,2
CARA,2.3006,-2.3006,2
CARA,2.31663,-2.31663,2
CARA,2.33267,-2.33267,2
CARA,2.3487,-2.3487,2
CARA,2.36473,-2.36473,2
CARA,2.38076,-2.38076,2
CARA,2.39679,-2.39679,2
CARA,2.41283,-2.41283,2
CARA,2.42886,-2.42886,2
CARA,2.44489,-2.44489,2
CARA,2.46092,-2.46092,2
CARA,2.47695,-2.47695,2
CARA,2.49299,-2.49299,2
CARA,2.50902,-2.50902,2
CARA,2.52505,-2.52505,2
CARA,2.54108,-2.54108,2
CARA,2.55711,-2.55711,2
CARA,2.57315,-2.57315,2
CARA,2.58918,-2.58918,2
CARA,2.60521,-2.60521,2
CARA,2.62124,-2.62124,2
CARA,2.63727,-2.63727,2
CARA,2.65331,-2.65331,2
CARA,2.66934,-2.66934,2
CARA,2.68537,-2.68537,2
CARA,2.7014,-2.7014,2
CARA,2.71743,-2.71743,2
CARA,2.73347,-2.73347,2
CARA,2.7495,-2.7495,2
CARA,2.76553,-2.76553,2
CARA,2.78156,-2.78156,2
CARA,2.7976,-2.7976,2
CARA,2.81363,-2.81363,2
CARA,2.82966,-2.82966,2
CARA,2.84569,-2.84569,2
CARA,2.86172,-2.86172,2
CARA,2.87776,-2.87776,2
CARA,2.89379,-2.89379,2
CARA,2.90982,-2.90982,2
CARA,2.92585,-2.92585,2
CARA,2.94188,-2.94188,2
CARA,2.95792,-2.95792,2
CARA,2.97395,-2.97395,2
CARA,2.98998,-2.98998,2
CARA,3.00601,-3.00601,2
CARA,3.02204,-3.02204,2
CARA,3.03808,-3.03808,2
CARA,3.05411,-3.05411,2
CARA,3.07014,-3.07014,2
CARA,3.08617,-3.08617,2
CARA,3.1022,-3.1022,2
CARA,3.11824,-3.11824,2
CARA,3.13427,-3.13427,2
CARA,3.1503,-3.1503,2
CARA,3.16633,-3.16633,2
CARA,3.18236,-3.18236,2
CARA,3.1984,-3.1984,2
CARA,3.21443,-3.21443,2
CARA,3.23046,-3.23046,2
CARA,3.24649,-3.24649,2
CARA,3.26253,-3.26253,2
CARA,3.27856,-3.27856,2
CARA,3.29459,-3.29459,2
CARA,3.31062,-3.31062,2
CARA,3.32665,-3.32665,2
CARA,3.34269,-3.34269,2
CARA,3.35872,-3.35872,2
CARA,3.37475,-3.37475,2
CARA,3.39078,-3.39078,2
CARA,3.40681,-3.40681,2
CARA,3.42285,-3.42285,2
CARA,3.43888,-3.43888,2
CARA,3.45491,-3.45491,2
CARA,3.47094,-3.47094,2
CARA,3.48697,-3.48697,2
CARA,3.50301,-3.50301,2
CARA,3.51904,-3.51904,2
CARA,3.53507,-3.53507,2
CARA,3.5511,-3.5511,2
CARA,3.56713,-3.56713,2
CARA,3.58317,-3.58317,2
CARA,3.5992,-3.5992,2
CARA,3.61523,-3.61523,2
CARA,3.63126,-3.63126,2
CARA,3.64729,-3.64729,2
CARA,3.66333,-3.66333,2
CARA,3.67936,-3.67936,2
CARA,3.69539,-3.69539,2
CARA,3.71142,-3.71142,2
CARA,3.72745,-3.72745,2
CARA,3.74349,-3.74349,2
CARA,3.75952,-3.75952,2
CARA,3.77555,-3.77555,2
CARA,3.79158,-3.79158,2
CARA,3.80762,-3.80762,2
CARA,3.82365,-3.82365,2
CARA,3.83968,-3.83968,2
CARA,3.85571,-3.85571,2
CARA,3.87174,-3.87174,2
CARA,3.88778,-3.88778,2
CARA,3.90381,-3.90381,2
CARA,3.91984,-3.91984,2
CARA,3.93587,-3.93587,2
CARA,3.9519,-3.9519,2
CARA,3.96794,-3.96794,2
CARA,3.98397,-3.98397,2
CRRA,-4,1.09225,-3.8155
CRRA,-3.98397,1.09225,-3.78344
CRRA,-3.96794,1.09225,-3.75137
CRRA,-3.9519,1.09225,-3.71931
CRRA,-3.93587,1.09225,-3.68724
CRRA,-3.91984,1.09225,-3.65518
CRRA,-3.90381,1.09225,-3.62312
CRRA,-3.88778,1.09225,-3.59105
CRRA,-3.87174,1.09225,-3.55899
CRRA,-3.85571,1.09225,-3.52692
CRRA,-3.83968,1.09225,-3.49486
CRRA,-3.82365,1.09225,-3.4628
CRRA,-3.80762,1.09225,-3.43073
CRRA,-3.79158,1.09225,-3.39867
CRRA,-3.77555,1.09225,-3.3666
CRRA,-3.75952,1.09225,-3.33454
CRRA,-3.74349,1.09225,-3.30248
CRRA,-3.72745,1.09225,-3.27041
CRRA,-3.71142,1.09225,-3.23835
CRRA,-3.69539,1.09225,-3.20628
CRRA,-3.67936,1.09225,-3.17422
CRRA,-3.66333,1.09225,-3.14216
CRRA,-3.64729,1.09225,-3.11009
CRRA,-3.63126,1.09225,-3.07803
CRRA,-3.61523,1.09225,-3.04597
CRRA,-3.5992,1.09225,-3.0139
CRRA,-3.58317,1.09225,-2.98184
CRRA,-3.56713,1.09225,-2.94978
CRRA,-3.5511,1.09225,-2.91771
CRRA,-3.53507,1.09225,-2.88565
CRRA,-3.51904,1.09225,-2.85358
CRRA,-3.50301,1.09225,-2.82152
CRRA,-3.48697,1.09225,-2.78946
CRRA,-3.47094,1.09224,-2.75739
CRRA,-3.45491,1.09224,-2.72533
CRRA,-3.43888,1.09224,-2.69327
CRRA,-3.42285,1.09224,-2.6612
CRRA,-3.40681,1.09224,-2.62914
CRRA,-3.39078,1.09224,-2.59708
CRRA,-3.37475,1.09224,-2.56501
CRRA,-3.35872,1.09224,-2.53295
CRRA,-3.34269,1.09224,-2.50089
CRRA,-3.32665,1.09224,-2.46883
CRRA,-3.31062,1.09224,-2.43676
CRRA,-3.29459,1.09224,-2.4047
