tau_1,tau_2,tau_3,gamma_1,gamma_2,gamma_3,alpha,iters,time_s,PhiI,Finf,oneR2_het,p_star,mu_1,mu_2,mu_3,pr_gap,converged,init
3.709999999999985,3.709999999999985,3.709999999999985,3.0,3.0,3.0,NK,1,20.82,2.174e-02,2.174e-02,1.895572e-01,0.6585724521,0.67469250,0.65448314,0.67324170,0.020209,0,warm
3.7199999999999847,3.7199999999999847,3.7199999999999847,3.0,3.0,3.0,NK,1,26.23,2.214e-03,2.214e-03,1.095909e-01,0.6296978004,0.64235447,0.63533872,0.64234822,0.007016,1,warm
3.7299999999999844,3.7299999999999844,3.7299999999999844,3.0,3.0,3.0,NK,1,27.39,1.710e-03,1.710e-03,1.129906e-01,0.6296719004,0.64231729,0.63544500,0.64230390,0.006872,1,warm
3.7399999999999842,3.7399999999999842,3.7399999999999842,3.0,3.0,3.0,NK,1,28.79,3.018e-03,3.018e-03,1.223966e-01,0.6296282136,0.64226033,0.63552325,0.64226161,0.006737,0,warm
3.7699999999999836,3.7699999999999836,3.7699999999999836,3.0,3.0,3.0,NK,1,29.79,1.234e-03,1.234e-03,1.305112e-01,0.6292301815,0.64178199,0.63561571,0.64174360,0.006166,1,warm
3.789999999999983,3.789999999999983,3.789999999999983,3.0,3.0,3.0,NK,1,29.47,1.206e-03,1.206e-03,9.810007e-02,0.6291425077,0.64164463,0.63580205,0.64160956,0.005843,1,warm
3.799999999999983,3.799999999999983,3.799999999999983,3.0,3.0,3.0,NK,1,29.46,1.409e-03,1.409e-03,1.309299e-01,0.6290525685,0.64151832,0.63582626,0.64149317,0.005692,1,warm
3.8199999999999825,3.8199999999999825,3.8199999999999825,3.0,3.0,3.0,NK,1,26.91,5.206e-02,5.206e-02,2.122089e-01,0.6687361928,0.68478706,0.67098081,0.68457652,0.013806,0,warm
3.8299999999999823,3.8299999999999823,3.8299999999999823,3.0,3.0,3.0,NK,1,29.55,1.030e-02,1.030e-02,2.106908e-01,0.6287803281,0.64114064,0.63599745,0.64111522,0.005143,0,warm
3.839999999999982,3.839999999999982,3.839999999999982,3.0,3.0,3.0,NK,1,28.10,1.951e-03,1.951e-03,1.584668e-01,0.6287351316,0.64106696,0.63609073,0.64103550,0.004976,1,warm
3.849999999999982,3.849999999999982,3.849999999999982,3.0,3.0,3.0,NK,1,29.45,4.503e-03,4.503e-03,1.487434e-01,0.6286560892,0.64094761,0.63614942,0.64091557,0.004798,0,warm
3.8699999999999815,3.8699999999999815,3.8699999999999815,3.0,3.0,3.0,NK,1,29.86,2.214e-02,2.214e-02,1.581695e-01,0.6274348886,0.63950788,0.63521042,0.63943119,0.004297,0,warm
3.8799999999999812,3.8799999999999812,3.8799999999999812,3.0,3.0,3.0,NK,1,30.31,3.014e-03,3.014e-03,1.530699e-01,0.6284498532,0.64062640,0.63636100,0.64060182,0.004265,0,warm
3.889999999999981,3.889999999999981,3.889999999999981,3.0,3.0,3.0,NK,1,28.84,2.772e-03,2.772e-03,1.446076e-01,0.6285604804,0.64075202,0.63654065,0.64065512,0.004211,1,warm
3.899999999999981,3.899999999999981,3.899999999999981,3.0,3.0,3.0,NK,1,29.58,1.232e-03,1.232e-03,1.224782e-01,0.6281394601,0.64020735,0.63635004,0.64019528,0.003857,1,warm
3.9099999999999806,3.9099999999999806,3.9099999999999806,3.0,3.0,3.0,NK,1,29.88,7.559e-03,7.559e-03,1.144396e-01,0.6281360964,0.64016319,0.63644527,0.64015506,0.003718,0,warm
3.93999999999998,3.93999999999998,3.93999999999998,3.0,3.0,3.0,NK,1,27.66,3.358e-03,3.358e-03,1.478964e-01,0.6282916213,0.64043677,0.63642154,0.63996314,0.004015,0,warm
3.9599999999999795,3.9599999999999795,3.9599999999999795,3.0,3.0,3.0,NK,1,30.58,2.173e-03,2.173e-03,1.247197e-01,0.6281647949,0.64002703,0.63685609,0.64002531,0.003171,1,warm
3.9699999999999793,3.9699999999999793,3.9699999999999793,3.0,3.0,3.0,NK,1,29.42,2.315e-03,2.315e-03,1.109222e-01,0.6277812736,0.63955473,0.63667195,0.63953077,0.002883,1,warm
3.9999999999999787,3.9999999999999787,3.9999999999999787,3.0,3.0,3.0,NK,1,29.56,2.924e-03,2.924e-03,1.319498e-01,0.6277957509,0.63943868,0.63709473,0.63942367,0.002344,1,warm
4.019999999999978,4.019999999999978,4.019999999999978,3.0,3.0,3.0,NK,1,25.99,8.786e-02,8.786e-02,2.709674e-01,0.7238225518,0.74135834,0.76157549,0.73572245,-0.020217,0,warm
4.029999999999978,4.029999999999978,4.029999999999978,3.0,3.0,3.0,NK,1,29.15,1.892e-03,1.892e-03,1.259607e-01,0.6275313537,0.63901460,0.63709458,0.63901074,0.001920,1,warm
4.039999999999978,4.039999999999978,4.039999999999978,3.0,3.0,3.0,P0.3,1500,53.76,8.352e-04,4.364e-01,4.260967e-02,0.8081380244,0.82387414,0.81667832,0.81892792,0.007196,0,warm
4.049999999999978,4.049999999999978,4.049999999999978,3.0,3.0,3.0,NK,1,31.14,1.352e-03,1.352e-03,1.375011e-01,0.6271498527,0.63848443,0.63700589,0.63848159,0.001479,1,warm
4.059999999999977,4.059999999999977,4.059999999999977,3.0,3.0,3.0,NK,1,31.83,3.785e-03,3.785e-03,1.567018e-01,0.6267828416,0.63800584,0.63693622,0.63801383,0.001070,0,warm
4.089999999999977,4.089999999999977,4.089999999999977,3.0,3.0,3.0,NK,1,29.76,1.673e-03,1.673e-03,1.308992e-01,0.6265966590,0.63765507,0.63719532,0.63763356,0.000460,1,warm
4.109999999999976,4.109999999999976,4.109999999999976,3.0,3.0,3.0,NK,1,31.55,2.496e-03,2.496e-03,1.583301e-01,0.6264375580,0.63737027,0.63730713,0.63736149,0.000063,1,warm
4.119999999999976,4.119999999999976,4.119999999999976,3.0,3.0,3.0,NK,1,28.67,2.825e-03,2.825e-03,1.005683e-01,0.6262464170,0.63709084,0.63721297,0.63707447,-0.000122,1,warm
4.139999999999976,4.139999999999976,4.139999999999976,3.0,3.0,3.0,NK,1,22.92,9.284e-02,9.284e-02,3.225945e-01,0.6518331013,0.66949784,0.65451645,0.66540019,0.014981,0,warm
4.1499999999999755,4.1499999999999755,4.1499999999999755,3.0,3.0,3.0,NK,1,29.80,2.354e-02,2.354e-02,2.346608e-01,0.6277349651,0.63876331,0.63839017,0.63866705,0.000373,0,warm
4.159999999999975,4.159999999999975,4.159999999999975,3.0,3.0,3.0,NK,1,28.17,2.405e-03,2.405e-03,1.128172e-01,0.6256090933,0.63611694,0.63727718,0.63610488,-0.001160,1,warm
4.179999999999975,4.179999999999975,4.179999999999975,3.0,3.0,3.0,NK,1,26.51,6.746e-03,6.746e-03,1.662658e-01,0.6261261213,0.63670919,0.63774932,0.63669103,-0.001040,0,warm
4.189999999999975,4.189999999999975,4.189999999999975,3.0,3.0,3.0,NK,1,29.47,1.663e-03,1.663e-03,1.423862e-01,0.6260133826,0.63645443,0.63784044,0.63643835,-0.001386,1,warm
4.199999999999974,4.199999999999974,4.199999999999974,3.0,3.0,3.0,NK,1,30.70,1.589e-03,1.589e-03,1.093334e-01,0.6255337366,0.63581317,0.63756690,0.63580375,-0.001754,1,warm
4.209999999999974,4.209999999999974,4.209999999999974,3.0,3.0,3.0,NK,1,30.43,1.699e-03,1.699e-03,1.242047e-01,0.6264247948,0.63685973,0.63839225,0.63684101,-0.001533,1,warm
4.239999999999974,4.239999999999974,4.239999999999974,3.0,3.0,3.0,NK,1,29.92,2.148e-03,2.148e-03,1.624790e-01,0.6246791155,0.63453097,0.63737437,0.63451336,-0.002843,1,warm
