tau_1,tau_2,tau_3,gamma_1,gamma_2,gamma_3,alpha,iters,time_s,PhiI,Finf,oneR2_het,oneR2_eq,p_star,mu_1,mu_2,mu_3,pr_gap,converged,init
3.0,3.0,3.0,0.3,10.0,50.0,1.0,1000,4.82,1.288e-05,2.384e-02,6.415647e-01,8.801844e-03,0.9772666545,0.97776529,0.95739087,0.96953357,0.020374,0,idw
10.0,10.0,10.0,0.3,10.0,50.0,0.1,4000,21.49,6.069e-02,3.218e+00,7.454865e-01,2.416600e-01,0.9999278511,0.99993646,0.99887049,0.99970718,0.001066,0,idw
0.3,0.3,0.3,0.3,50.0,50.0,1.0,1000,4.94,1.695e-06,2.850e-05,6.586335e-01,1.372810e-06,0.5745223411,0.57452207,0.57459463,0.57454561,-0.000073,0,cold
1.0,1.0,1.0,0.3,50.0,50.0,0.1,4000,18.84,7.466e-05,3.306e-03,6.602620e-01,5.051787e-04,0.7279336535,0.72792755,0.72430928,0.73189374,0.003618,0,cold
3.0,3.0,3.0,0.3,50.0,50.0,0.3,2163,10.21,9.947e-09,9.516e-05,6.592635e-01,6.141377e-03,0.9494376783,0.94952688,0.93166911,0.95000443,0.017858,1,cold
10.0,10.0,10.0,0.3,50.0,50.0,1.0,1000,5.19,1.734e-02,9.995e+08,8.658765e-01,9.650541e-01,0.9999455413,0.99995429,0.00000734,0.99999971,0.999947,0,cold
0.3,0.3,0.3,1.0,1.0,3.0,0.3,2500,11.95,7.681e-07,6.815e-06,1.403494e-01,4.406881e-07,0.5745004005,0.57450099,0.57449820,0.57450465,0.000003,0,idw
1.0,1.0,1.0,1.0,1.0,3.0,1.0,1000,4.67,7.793e-05,1.593e-03,1.396788e-01,3.280299e-04,0.7259026337,0.72620849,0.72535264,0.72663551,0.000856,0,cold
3.0,3.0,3.0,1.0,1.0,3.0,0.3,2500,11.77,1.336e-06,6.582e-03,1.360608e-01,3.339324e-03,0.9499449197,0.94975236,0.94948841,0.95186827,0.000264,0,cold
10.0,10.0,10.0,1.0,1.0,3.0,0.1,4000,20.77,8.855e-02,2.927e+00,3.123628e-01,2.164129e-01,0.9999521294,0.99995066,0.99995439,0.99994970,-0.000004,0,cold
0.3,0.3,0.3,1.0,1.0,10.0,0.3,2500,11.86,1.226e-06,1.056e-05,2.686565e-01,9.356761e-08,0.5743959950,0.57439600,0.57439709,0.57439145,-0.000001,0,cold
1.0,1.0,1.0,1.0,1.0,10.0,0.3,2500,11.70,9.792e-05,1.838e-03,2.669892e-01,6.708432e-04,0.7420914009,0.74221561,0.74181040,0.74370629,0.000405,0,warm
