tau_1,tau_2,tau_3,gamma_1,gamma_2,gamma_3,alpha,iters,time_s,PhiI,Finf,oneR2_het,p_star,mu_1,mu_2,mu_3,pr_gap,converged,init
2.820000000000004,2.820000000000004,2.820000000000004,3.0,3.0,3.0,P1.0,100,2.73,9.777e-07,1.245e-05,9.562234e-04,0.6756986365,0.68528075,0.68595286,0.68528075,-0.000672,1,warm
2.810000000000004,2.810000000000004,2.810000000000004,3.0,3.0,3.0,P1.0,100,2.78,9.808e-07,1.269e-05,9.530460e-04,0.6755184019,0.68503143,0.68567425,0.68503143,-0.000643,1,warm
2.8000000000000043,2.8000000000000043,2.8000000000000043,3.0,3.0,3.0,P1.0,100,2.69,9.920e-07,1.307e-05,9.498825e-04,0.6753321137,0.68477616,0.68538936,0.68477616,-0.000613,1,warm
2.7900000000000045,2.7900000000000045,2.7900000000000045,3.0,3.0,3.0,P1.0,104,2.80,9.864e-07,1.286e-05,9.467466e-04,0.6751411418,0.68451626,0.68509944,0.68451626,-0.000583,1,warm
2.7800000000000047,2.7800000000000047,2.7800000000000047,3.0,3.0,3.0,P1.0,107,2.99,9.886e-07,1.276e-05,9.436299e-04,0.6749439890,0.68425031,0.68480317,0.68425031,-0.000553,1,warm
2.770000000000005,2.770000000000005,2.770000000000005,3.0,3.0,3.0,P1.0,110,3.11,9.986e-07,1.276e-05,9.405348e-04,0.6747410735,0.68397873,0.68450096,0.68397873,-0.000522,1,warm
2.760000000000005,2.760000000000005,2.760000000000005,3.0,3.0,3.0,P1.0,115,3.27,9.911e-07,1.253e-05,9.374712e-04,0.6745329483,0.68370206,0.68419331,0.68370206,-0.000491,1,warm
2.7500000000000053,2.7500000000000053,2.7500000000000053,3.0,3.0,3.0,P1.0,120,3.28,9.894e-07,1.239e-05,9.343052e-04,0.6743190724,0.68341980,0.68387997,0.68341980,-0.000460,1,warm
2.7400000000000055,2.7400000000000055,2.7400000000000055,3.0,3.0,3.0,P1.0,125,3.39,9.997e-07,1.239e-05,9.313042e-04,0.6741000144,0.68313251,0.68356106,0.68313251,-0.000429,1,warm
2.7300000000000058,2.7300000000000058,2.7300000000000058,3.0,3.0,3.0,P1.0,133,3.63,9.911e-07,1.215e-05,9.283551e-04,0.6738760763,0.68284051,0.68323701,0.68284051,-0.000396,1,warm
2.720000000000006,2.720000000000006,2.720000000000006,3.0,3.0,3.0,P1.0,303,8.16,9.970e-07,1.200e-05,9.272770e-04,0.6736682810,0.68256420,0.68292702,0.68256420,-0.000363,1,warm
2.710000000000006,2.710000000000006,2.710000000000006,3.0,3.0,3.0,P1.0,191,5.18,9.992e-07,1.190e-05,9.246325e-04,0.6734259882,0.68225388,0.68258584,0.68225388,-0.000332,1,warm
2.7000000000000064,2.7000000000000064,2.7000000000000064,3.0,3.0,3.0,P1.0,230,6.15,9.941e-07,1.170e-05,9.221607e-04,0.6731906398,0.68195097,0.68224923,0.68195097,-0.000298,1,warm
2.6900000000000066,2.6900000000000066,2.6900000000000066,3.0,3.0,3.0,P1.0,387,10.36,9.945e-07,5.365e-06,9.217429e-04,0.6729290120,0.68162567,0.68186614,0.68162567,-0.000240,1,warm
2.680000000000007,2.680000000000007,2.680000000000007,3.0,3.0,3.0,P1.0,227,6.15,9.942e-07,1.139e-05,9.193620e-04,0.6726792953,0.68130927,0.68151382,0.68130927,-0.000205,1,warm
2.670000000000007,2.670000000000007,2.670000000000007,3.0,3.0,3.0,P1.0,242,6.45,9.946e-07,1.125e-05,9.172029e-04,0.6724277994,0.68099124,0.68115919,0.68099124,-0.000168,1,warm
2.6600000000000072,2.6600000000000072,2.6600000000000072,3.0,3.0,3.0,P1.0,247,6.58,9.998e-07,1.116e-05,9.150583e-04,0.6721724535,0.68066954,0.68080089,0.68066954,-0.000131,1,warm
2.6500000000000075,2.6500000000000075,2.6500000000000075,3.0,3.0,3.0,P1.0,263,6.98,9.960e-07,1.098e-05,9.130033e-04,0.6719135365,0.68034448,0.68043887,0.68034448,-0.000094,1,warm
2.6400000000000077,2.6400000000000077,2.6400000000000077,3.0,3.0,3.0,P1.0,293,7.67,9.985e-07,1.087e-05,9.111191e-04,0.6716515123,0.68001656,0.68007339,0.68001656,-0.000057,1,warm
2.630000000000008,2.630000000000008,2.630000000000008,3.0,3.0,3.0,P1.0,361,9.70,9.965e-07,1.071e-05,9.096047e-04,0.6713875491,0.67968697,0.67970521,0.67968697,-0.000018,1,warm
2.620000000000008,2.620000000000008,2.620000000000008,3.0,3.0,3.0,P1.0,506,13.47,9.988e-07,1.058e-05,9.087214e-04,0.6711234962,0.67935757,0.67933567,0.67935757,0.000022,1,warm
2.6100000000000083,2.6100000000000083,2.6100000000000083,3.0,3.0,3.0,P1.0,1089,28.73,9.568e-07,1.124e-05,9.751166e-04,0.6713105611,0.67946361,0.67937093,0.67946361,0.000093,1,warm
