seed_index,family,amplitude,iterations,stage1_converged,residual_inf,nearest_known,distance_to_fr,distance_to_nonfr,revelation_deficit
17,near_nonfr,1.2576015924939736e-14,120,False,1.8690067667137544e-07,non-FR,0.00011282156272834909,5.878013100711621e-05,5.320321960766705e-11
18,near_nonfr,1.4078064151140456e-09,120,False,2.1611328934745266e-07,non-FR,0.00011397485124275963,5.297854449837214e-05,5.831746197060284e-11
19,near_nonfr,2.3152153824536115e-12,120,False,1.7614501493512513e-07,non-FR,0.00011261783104282719,5.956827857681035e-05,5.258804502972225e-11
20,near_nonfr,1.2784020249512552e-11,114,True,9.23691409471239e-08,non-FR,0.00011083085574375984,6.663206431459234e-05,4.915057250087784e-11
21,near_nonfr,1.5614364857048972e-12,120,False,1.8690066698467955e-07,non-FR,0.000112821561468468,5.87801170777863e-05,5.3203330629969514e-11
22,near_nonfr,2.085618863661123e-14,120,False,1.8690078321115244e-07,non-FR,0.00011282157762010359,5.878006706661054e-05,5.320321960766705e-11
23,near_nonfr,7.300423838517331e-10,120,False,1.019168169025253e-07,non-FR,0.00010917353986622524,6.932285184725606e-05,4.8076875813762854e-11
24,near_nonfr,2.8152245036467227e-10,120,False,1.3527208198027552e-07,non-FR,0.00011208296482689839,6.140310013315331e-05,5.3197557470241463e-11
25,near_nonfr,4.72575268190873e-11,120,False,1.6701312413602842e-07,non-FR,0.00011165482201330734,6.251017034170081e-05,5.0638826465387865e-11
26,near_nonfr,9.806504632272508e-12,120,False,1.8402152970886654e-07,non-FR,0.00011282323741762523,5.878827086380767e-05,5.31832355932238e-11
27,near_nonfr,7.250962041728465e-10,120,False,1.7609327483680826e-07,non-FR,0.00011316413450729312,5.693522805010065e-05,5.4611648536706525e-11
28,near_nonfr,8.673994071530741e-11,120,False,1.645291523577619e-07,non-FR,0.00011247581180989785,6.0095403256410496e-05,5.236278077802581e-11
29,near_nonfr,9.461553777295886e-13,120,False,1.8690120766329255e-07,non-FR,0.00011282162078396496,5.8779836088554416e-05,5.320321960766705e-11
30,near_nonfr,1.8274577716640248e-10,120,False,1.989428774773483e-07,non-FR,0.00011289591855745407,5.845919110522568e-05,5.342559727949947e-11
31,near_nonfr,1.796467676198689e-11,120,False,1.805796731174647e-07,non-FR,0.00011280916946637687,5.8845276299665517e-05,5.315248241544168e-11
32,near_nonfr,5.4308453996557485e-12,120,False,1.8689864235421627e-07,non-FR,0.00011282137160417705,5.878117161890739e-05,5.320233142924735e-11
33,near_nonfr,9.38416623388003e-10,92,True,9.5297725183352e-08,non-FR,0.00011137298067059875,7.097073233616746e-05,4.1720515930876445e-11
34,near_nonfr,2.740595686099083e-12,120,False,1.510095963830338e-07,non-FR,0.00011231689718110838,6.068592688016072e-05,5.187739127165969e-11
35,near_nonfr,1.1528383817415137e-12,120,False,1.868977236307856e-07,non-FR,0.00011282128548678605,5.8781633394150434e-05,5.320177631773504e-11
36,near_nonfr,1.4399927939489065e-11,120,False,1.8057807799065628e-07,non-FR,0.00011280912497030338,5.884610880330099e-05,5.315137219241706e-11
37,near_nonfr,2.4655798579157446e-09,120,False,2.004342539024817e-07,non-FR,0.00011261196289491515,5.983788440173943e-05,5.187072993351194e-11
38,near_nonfr,8.552607218475116e-12,120,False,1.8057820481975906e-07,non-FR,0.00011280918933315176,5.884581056454785e-05,5.3151261170114594e-11
39,near_nonfr,9.450759623577621e-10,78,True,9.932581737648327e-08,non-FR,0.00011283570426529055,5.961643167756714e-05,5.22872856123513e-11
40,near_nonfr,5.215604998617184e-10,120,False,1.9175544904714847e-07,non-FR,0.0001132501818614795,5.835907860052281e-05,5.1036952442018446e-11
41,near_nonfr,5.395732959360446e-12,120,False,1.8401459535299924e-07,non-FR,0.0001128225938250016,5.879179634928067e-05,5.3180349013359773e-11
42,near_nonfr,1.5139518754768589e-13,120,False,1.8690091636852646e-07,non-FR,0.00011282158364911421,5.8779999390343174e-05,5.3203330629969514e-11
43,near_nonfr,2.8157337595188805e-13,120,False,1.5100745739959898e-07,non-FR,0.00011231665230182486,6.068718692528452e-05,5.187639207093753e-11
44,near_nonfr,3.721511239710748e-14,120,False,1.48621877360533e-07,non-FR,0.00011235401683989954,6.055270380581068e-05,5.1974757830919316e-11
45,near_nonfr,5.606476094933064e-13,120,False,1.5100776294685314e-07,non-FR,0.00011231668303030018,6.068702695581629e-05,5.187661411554245e-11
46,near_nonfr,6.867395008793385e-14,120,False,1.869014877309283e-07,non-FR,0.00011282163474918283,5.877971425685691e-05,5.3203885741481827e-11
47,near_nonfr,1.125761536470312e-13,120,False,1.8689864124399325e-07,non-FR,0.00011282138252799445,5.8781136258886924e-05,5.320233142924735e-11
48,near_nonfr,1.6416868292179169e-13,120,False,1.510082947991931e-07,non-FR,0.0001123167416456905,6.068670800483955e-05,5.18770582047523e-11
49,near_nonfr,7.859629315040652e-13,120,False,1.510086886091777e-07,non-FR,0.00011231679344236856,6.0686460611192317e-05,5.187728024935723e-11
50,near_nonfr,1.3595995495982882e-09,85,True,9.881349052887067e-08,non-FR,0.00011203491761091477,6.231213360183285e-05,5.062317232074065e-11
51,near_nonfr,1.9726857225204526e-13,120,False,1.5100774278242746e-07,non-FR,0.00011231667586791838,6.0687035065704054e-05,5.187650309323999e-11
52,near_nonfr,2.7087034305479295e-13,120,False,1.51008019200205e-07,non-FR,0.00011231671304118285,6.068687172397502e-05,5.18770582047523e-11
53,near_nonfr,1.0678457472754408e-13,120,False,1.8690146819100306e-07,non-FR,0.00011282163964904113,5.87797153046854e-05,5.320399676378429e-11
54,near_nonfr,5.131766772934922e-10,87,True,9.529747109493503e-08,non-FR,0.00011206019589243832,6.16872002194152e-05,5.145728287914153e-11
55,near_nonfr,2.6181106418545676e-14,120,False,1.5100814103330418e-07,non-FR,0.00011231672288630756,6.0686786371430546e-05,5.1876725137844915e-11
