seed_index,family,amplitude,stage1_iterations,stage1_residual_inf,stage1_revelation_deficit,stage1_max_fr_error,initial_nearest_reference,initial_reference_distance,final_nearest_reference,final_reference_distance
77,mixed_fr_nonfr,0.00010700635538450297,90,0.0026617786563775114,2.19143661173149e-06,0.01877943384831604,FR,0.04498191829517395,FR,0.01877943384831604
78,near_nonfr,0.0006930877826504098,73,6.129801810583757e-08,0.00022148579617287112,0.16917484806720895,non-FR,0.0004713236804722576,non-FR,8.2848308596839e-07
79,mixed_fr_nonfr,0.0006144406129201725,73,6.070649460898636e-08,0.0002214845133575727,0.16917457318362417,FR,0.07055060808305902,non-FR,5.035624175420139e-07
80,near_fr,2.6081157988532887e-05,90,4.285983397078752e-07,4.132916231469608e-12,3.4421032753528813e-06,FR,1.8503495968102968e-05,FR,3.4421032753528813e-06
81,near_nonfr,2.7104756368614154e-05,68,5.6097245071384805e-08,0.00022148721892123469,0.16917482985722543,non-FR,1.8460281368759546e-05,non-FR,1.2281797913127335e-06
82,near_fr,0.00048734097017902865,90,5.409993492286325e-06,2.802318821437666e-09,9.364907593700789e-05,FR,0.00023431369301962768,FR,9.364907593700789e-05
83,near_nonfr,1.949331826000746e-05,68,5.862490193297987e-08,0.00022148585877934668,0.16917498671622277,non-FR,9.544851329146287e-06,non-FR,1.1472026937853208e-06
84,mixed_fr_nonfr,4.1521353917964123e-07,61,6.133419294673814e-08,0.00022148529039145437,0.16917458428520904,non-FR,0.05118971578499887,non-FR,7.774326657994379e-07
85,near_nonfr,1.9351283102701487e-05,68,5.583250839436005e-08,0.00022148534038657353,0.16917471700673592,non-FR,1.1481658465040123e-05,non-FR,6.473855292954411e-07
86,mixed_fr_nonfr,5.053279986901909e-07,90,0.0016794791094393302,1.2528980039006044e-06,0.015744093868067965,FR,0.037204742108421396,FR,0.015744093868067965
87,mixed_no_learning,9.86815208563042e-05,90,0.008375618247692063,7.22246915387803e-05,0.035089539455769536,FR,0.4553307232731073,FR,0.035089539455769536
88,mixed_fr_nonfr,0.00016108827236048672,74,5.754045223627102e-08,0.0002214889268675746,0.16917309829305338,FR,0.0819039054031625,non-FR,1.0565081662861076e-06
89,mixed_no_learning,3.8833785243319375e-05,90,0.002329943730058681,0.00012119251884457061,0.1618369887862986,FR,0.15769207515292488,non-FR,0.03756357554680689
90,near_fr,3.101051120492286e-06,43,8.341095630859385e-08,8.881784197001252e-15,8.040599412395544e-07,FR,1.3657700935754136e-06,FR,8.040599412395544e-07
91,mixed_fr_nonfr,0.0026046493129053016,76,6.273972896764235e-08,0.00022148844041325333,0.1691748210068701,non-FR,0.009513569139605993,non-FR,1.1926910554183046e-06
92,near_fr,2.0800768702810353e-05,90,7.635596538935197e-07,6.786793349533582e-12,3.0035472514677863e-06,FR,1.349044509613151e-05,FR,3.0035472514677863e-06
93,near_fr,0.00011839989304688567,90,3.8201830807396697e-07,2.5917379353757042e-11,8.175389208719963e-06,FR,6.3264801448637e-05,FR,8.175389208719963e-06
94,near_nonfr,1.061811692611337e-07,54,7.294411730196515e-08,0.00022148686256373562,0.16917485233265261,non-FR,4.79947669940195e-08,non-FR,7.827114459901807e-07
95,mixed_no_learning,0.0007314900493615932,90,0.003120337391903205,0.00017939696770064018,0.10997104750895487,FR,0.2157802882303377,non-FR,0.10012809355941288
96,near_fr,8.627163236038053e-07,5,5.379153622531163e-08,1.6653345369377348e-15,1.2976669594433332e-07,FR,4.4507709007213236e-07,FR,1.2976669594433332e-07
97,mixed_no_learning,7.643484898159812e-07,90,1.0304718831677384e-05,0.0002184782876513136,0.16919317432612202,non-FR,0.011112624134648308,non-FR,0.0008343188746386954
98,near_nonfr,6.248651330488769e-05,69,6.889856718483856e-08,0.00022148625565054925,0.16917496963055412,non-FR,3.865209229664268e-05,non-FR,1.3385798532383753e-06
99,near_nonfr,9.70658094165424e-08,57,7.033580451398791e-08,0.00022148721882542244,0.16917502078776236,non-FR,5.6168509954268586e-08,non-FR,1.0336627255247421e-06
