seed_index,family,amplitude,iterations,stage1_converged,residual_inf,nearest_known,distance_to_fr,distance_to_nonfr,revelation_deficit
46,mixed_fr_nonfr,8.007854754639428e-08,27,True,9.809692175233309e-08,FR,4.863250092229654e-05,0.00027694223541807617,2.328914838756191e-11
47,mixed_no_learning,3.419689122765293e-08,60,False,9.21580135943012e-06,FR,0.0020125670408801533,0.002016424196522981,3.460514585995611e-08
48,near_fr,2.6172107751989354e-09,1,True,6.117694129059714e-10,FR,1.1051680681717357e-09,0.0003255750574933103,0.0
49,near_nonfr,1.626681051505451e-08,60,False,6.567989130346064e-07,non-FR,0.00026975252440580855,9.859919693067098e-05,7.393334833238896e-10
50,mixed_fr_nonfr,4.287596103709736e-06,60,False,6.433064441146996e-07,non-FR,0.0002652425239948464,6.0332212345526326e-05,6.873523972217299e-10
51,mixed_no_learning,2.2678174567994753e-05,60,False,1.2476233435254613e-05,non-FR,0.005821589836244256,0.0057998668901421135,1.162020601963576e-08
52,near_fr,4.69412914846989e-09,1,True,1.8727631667658784e-09,FR,2.5409511161811338e-09,0.0003255750338871377,0.0
53,near_nonfr,1.58462538726939e-09,60,False,6.406972923311827e-07,non-FR,0.00024710540798500435,0.0001034367744240372,6.320520773428484e-10
54,mixed_fr_nonfr,9.451423065454614e-09,60,False,4.192512781386881e-07,non-FR,0.00021506871059756572,0.00011390118320453446,4.506233164391915e-10
55,mixed_no_learning,0.0008611943054514354,60,False,4.295090254125e-06,non-FR,0.0008952291180210903,0.0008913321741215174,1.2956882755599253e-07
56,near_fr,0.0003354773500123905,60,False,4.5912653912072443e-07,non-FR,0.00021265875691656166,0.00019169582903244553,3.2474334332732724e-10
57,near_nonfr,2.1600020212360865e-07,60,False,5.637507244360407e-07,non-FR,0.00022823306495695084,0.00013209967793703647,5.460361052200824e-10
58,mixed_fr_nonfr,1.7839354301627236e-09,60,False,1.073384143887579e-06,non-FR,0.00028897418982204437,5.285658465115084e-05,8.523991512632278e-10
59,mixed_no_learning,0.005245312645398596,60,False,7.453600189277765e-06,non-FR,0.002031926351477642,0.0020182368316408184,1.8213186803173187e-07
60,near_fr,3.523298843015758e-06,9,True,7.27889374330104e-08,FR,1.367475258917672e-06,0.0003253569953366453,2.0650148258027912e-14
61,near_nonfr,2.3110315700510637e-09,60,False,3.5359246763899677e-07,non-FR,0.00020724335841243446,0.0001500910561689217,4.5705572659926474e-10
62,mixed_fr_nonfr,3.981725069290157e-08,17,True,9.603809136837782e-08,FR,4.286641816836356e-05,0.00028270831817200914,1.681987882307112e-11
